"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_000043",1657,1330,3978,2085,1888,354,1828,902,700,2252,1883,2022
"NM_152872",1529,1200,3766,1877,1664,323,1690,769,640,1970,1581,1801
"NM_152871",1468,1127,3692,1845,1574,302,1632,741,628,1972,1569,1775
"NR_028034",1210,844,3245,1531,1173,235,1421,570,552,1613,1083,1428
"NM_213606",0,0,0,0,0,0,0,0,0,0,0,0
"NR_110657",0,0,0,0,0,0,0,0,0,0,0,0
"NR_131214",0,0,0,1,0,0,1,0,3,4,5,2
"NM_019859",0,2,0,0,0,0,0,0,0,0,0,4
"NM_000872",0,2,0,0,0,0,0,0,0,0,0,4
"NM_019860",0,2,0,0,0,0,0,0,0,0,0,4
"NR_024467",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001348365",51,34,214,30,25,2,147,54,37,40,48,133
"NR_104291",53,46,229,26,26,2,150,54,31,48,43,131
"NR_145526",57,49,236,30,27,2,152,58,39,48,49,140
"NM_001284274",54,50,235,33,27,2,149,58,39,47,48,146
"NM_003972",5661,5924,17968,7323,5930,1186,7262,3876,4086,8409,6084,6913
"NM_001178137",92,55,219,92,96,37,167,72,69,200,148,118
"NM_182765",54,49,235,30,27,2,149,58,39,45,48,140
"NM_019053",129,129,401,141,123,32,142,112,72,162,199,272
"NM_001013848",124,116,391,131,116,31,140,102,69,154,190,262
"NM_001319200",95,106,316,115,91,22,116,80,55,124,172,207
"NM_001322793",877,928,1869,926,1161,143,1130,641,422,1038,918,853
"NM_004969",926,985,1892,966,1227,152,1177,658,437,1110,983,880
"NM_001319194",125,115,391,131,116,31,137,102,69,153,190,261
"NM_001322795",941,991,1912,982,1237,156,1194,665,445,1115,986,892
"NM_183374",1,0,0,1,2,0,0,0,0,2,2,1
"NM_001322794",819,889,1774,894,1107,140,1049,600,404,1032,887,813
"NM_001319195",124,125,390,135,120,30,142,106,62,159,188,257
"NM_001322796",929,937,1882,955,1181,151,1146,636,434,1110,956,869
"NR_136399",948,995,1912,972,1231,155,1188,660,447,1122,987,887
"NM_016341",4,2,21,0,0,0,1,2,0,2,1,3
"NM_001195755",1,0,0,0,0,0,0,0,0,0,0,5
"NM_001288989",4,2,21,0,0,0,1,2,0,2,1,3
"NM_001165979",2,2,19,0,0,0,1,0,0,1,0,3
"NM_181745",1,0,0,0,0,0,0,0,0,0,0,5
"NM_020992",3736,2501,7422,3248,3047,2066,3865,1464,1403,4945,2156,3502
"NM_015188",297,368,584,261,359,71,414,350,217,370,477,417
"NM_000769",2,4,1,1,0,0,0,2,4,1,1,0
"NR_038444",58,65,105,49,54,15,65,56,24,71,65,60
"NR_134320",33,20,53,33,26,10,42,18,24,33,17,23
"NR_134321",33,20,47,32,26,8,37,18,24,32,17,19
"NR_134322",38,27,66,43,35,14,41,24,28,44,35,29
"NM_001258440",2457,1771,4801,1255,1218,471,1921,834,810,2089,1182,1406
"NM_001258441",2016,1527,4350,1058,1053,372,1581,714,703,1730,1003,1175
"NR_047680",2409,1736,5079,1293,1166,451,1983,789,828,2117,1125,1450
"NR_047681",2175,1654,4771,1191,1113,397,1797,752,790,1918,1052,1330
"NR_047682",2143,1639,4714,1171,1103,393,1761,745,773,1889,1047,1306
"NR_047683",1831,1415,4128,963,936,329,1419,656,644,1557,891,1064
"NM_001114094",2801,2102,5485,1479,1447,533,2221,943,977,2445,1403,1686
"NM_001312654",10688,5797,22816,10011,6766,2138,11095,4356,5283,10358,6605,9665
"NM_001258442",1334,1148,3593,734,750,238,1096,539,481,1190,705,797
"NM_001164183",10248,5194,22094,9632,6043,2039,10673,4006,5054,9945,5972,9240
"NM_001164182",10655,5735,22767,9892,6631,2110,10991,4345,5184,10294,6634,9593
"NM_001017520",0,1,0,2,0,0,0,0,0,2,0,1
"NM_001320916",3378,4062,7721,2832,4280,771,3322,2678,1544,3481,3597,3188
"NM_001164181",10602,5787,22725,9951,6747,2133,11012,4341,5221,10296,6588,9617
"NM_001164179",10631,6093,22884,9818,7054,2055,10929,4586,5128,10286,6951,9502
"NM_001164178",11020,6977,23601,10312,7852,2210,11355,5053,5382,10723,7004,10036
"NM_001143973",462,545,897,388,597,140,419,264,162,586,563,375
"NM_001776",11570,6920,23991,10604,8043,2318,11808,5227,5548,11298,8088,10411
"NM_001349008",145,55,455,150,69,21,290,69,161,54,30,137
"NM_015631",788,901,1288,707,1029,263,695,454,271,1089,981,664
"NM_013314",3252,2348,5936,1687,1614,633,2568,1070,1087,2814,1584,1922
"NM_001098175",10976,6139,23370,10206,7066,2190,11320,4651,5333,10632,7003,9898
"NM_004088",0,1,0,2,0,0,0,0,0,2,1,1
"NM_001256423",1153,951,1661,933,972,321,1464,702,545,1458,941,885
"NR_037909",402,352,586,277,306,101,506,245,182,428,332,288
"NM_001204300",1115,965,1642,884,970,308,1412,699,517,1437,925,830
"NM_015179",570,847,1007,352,849,207,340,424,197,675,945,464
"NM_003061",16,12,22,7,2,2,9,6,6,8,10,2
"NM_001284337",503,724,911,305,758,183,300,375,163,577,801,399
"NM_032900",1203,1017,1693,952,1023,326,1498,747,552,1512,992,901
"NM_032440",1228,935,3520,1698,1086,197,1747,729,723,1765,993,1313
"NM_001170765",1247,955,3548,1707,1136,200,1755,779,730,1794,1013,1337
"NM_001346516",1157,626,2074,1220,721,221,1454,490,473,1524,522,907
"NM_152309",3844,3230,5295,4814,6379,1744,4606,3724,1977,5967,4985,3829
"NM_001145114",521,750,950,315,770,186,319,381,172,588,826,405
"NM_001170766",947,739,2774,1212,841,156,1303,591,562,1332,803,960
"NM_018058",1,0,0,1,0,0,0,0,0,0,0,1
"NM_001322477",769,904,1721,630,1053,361,754,559,346,735,603,670
"NM_001322481",610,744,1441,512,809,283,601,447,290,550,468,533
"NM_001322485",577,634,1439,467,712,261,568,374,273,522,375,488
"NM_001351011",331,348,856,450,398,85,536,275,229,395,389,358
"NM_001322484",657,782,1562,537,869,319,673,475,306,606,491,567
"NM_001322483",634,704,1503,513,797,298,660,438,290,584,449,547
"NM_001322482",574,679,1372,478,737,261,545,389,265,515,425,486
"NM_001256621",104,117,297,161,122,25,182,82,84,145,125,133
"NM_001351010",347,354,872,464,413,86,551,284,236,410,397,375
"NM_001256619",307,340,847,431,395,82,510,269,221,376,390,345
"NM_001351012",307,365,838,437,390,77,497,265,219,360,353,348
"NM_001351013",271,305,787,399,356,69,436,243,198,312,329,311
"NM_001351015",302,331,832,431,387,81,502,264,219,372,375,342
"NM_001351016",253,296,765,389,347,66,417,236,185,293,318,301
"NM_001351017",285,308,796,409,357,74,472,247,201,340,339,320
"NM_001351014",325,352,865,459,403,82,546,279,231,398,394,369
"NM_001206528",2,0,1,0,0,1,0,0,2,0,0,2
"NM_000195",734,833,1665,603,978,340,735,515,335,700,532,638
"NM_001311345",759,874,1705,597,1002,324,720,510,328,705,574,629
"NM_001322492",240,276,583,164,320,66,178,183,79,218,201,202
"NM_001322491",294,324,705,194,405,100,223,211,99,292,242,240
"NM_001322479",715,822,1652,573,964,319,657,485,319,677,551,610
"NM_001322480",588,666,1382,488,737,262,588,409,275,528,426,512
"NM_001322478",690,741,1593,546,889,298,639,444,301,654,506,586
"NM_001322490",291,396,707,230,444,108,231,265,116,285,265,269
"NM_001322489",642,741,1546,514,815,285,629,434,290,580,457,531
"NM_001322487",815,960,1774,655,1097,367,817,585,358,765,630,692
"NM_014472",286,325,817,419,374,72,458,256,211,343,343,332
"NM_138469",308,346,850,446,389,73,493,269,222,367,361,359
"NM_001256620",292,315,819,423,371,70,468,256,209,334,340,336
"NM_182639",361,462,829,273,547,156,315,297,137,370,310,308
"NM_001322476",744,823,1662,603,978,340,736,518,328,712,558,646
"NM_018425",367,552,730,390,652,228,376,349,206,501,545,409
"NM_001345887",115,91,223,44,28,8,25,13,4,40,26,50
"NM_001345888",97,80,201,42,27,8,24,12,4,37,26,42
"NM_001345889",105,85,214,42,27,8,25,12,4,37,26,43
"NR_144311",103,86,208,42,27,8,24,13,4,39,26,49
"NM_020348",107,85,210,44,28,8,24,13,4,40,26,48
"NM_001318326",1989,820,3367,1072,687,557,1698,442,765,1464,489,825
"NM_001318327",1816,753,3120,953,632,533,1542,415,706,1350,435,773
"NM_015221",3291,1788,5569,1763,1438,913,2805,1027,1195,2361,988,1408
"NM_015960",268,400,724,272,220,56,333,207,174,367,305,237
"NM_001136123",532,570,1573,624,701,150,934,574,458,695,769,907
"NR_120620",0,0,0,0,0,0,0,0,0,0,0,0
"NM_003987",2,0,2,1,0,0,0,0,0,0,0,2
"NM_001308382",212,400,550,188,295,100,219,233,154,297,310,209
"NM_018121",779,771,2356,955,978,186,1322,749,628,1022,1010,1308
"NR_033406",330,548,938,282,398,161,325,300,267,459,418,356
"NM_003989",2,0,1,1,0,1,1,0,0,1,0,2
"NM_003990",2,0,1,1,0,1,1,0,0,1,0,2
"NM_001304569",2,0,2,1,0,0,0,0,0,0,0,2
"NM_000278",2,0,2,1,0,1,1,0,0,1,0,2
"NM_003988",2,0,2,1,0,1,1,0,0,1,0,2
"NM_033637",424,343,815,427,358,154,530,221,222,632,354,398
"NM_013274",373,698,1085,337,507,181,404,382,296,560,546,416
"NM_003939",415,324,792,417,342,152,496,211,214,606,323,386
"NM_001256856",414,328,781,422,331,148,492,203,213,600,311,377
"NM_001174085",293,566,889,271,436,148,315,318,226,442,458,332
"NM_001174084",394,732,1141,344,527,189,426,394,302,585,571,436
"NM_004193",2341,1542,3908,1633,1296,850,2066,795,878,2885,1005,1550
"NM_014591",148,66,361,54,30,40,63,12,27,79,40,79
"NM_016169",150,107,380,129,72,88,144,76,83,178,98,172
"NM_001199379",2333,1524,3887,1622,1283,844,2058,791,871,2871,995,1540
"NM_005029",0,0,0,0,0,0,1,0,1,1,0,0
"NM_001199378",2359,1532,3895,1629,1299,852,2083,797,878,2885,1003,1549
"NM_173191",147,65,356,53,30,38,61,11,27,78,40,78
"NM_173193",144,62,349,51,29,39,54,12,27,76,41,75
"NM_173195",141,59,347,51,28,36,54,10,26,76,40,72
"NM_005736",806,1565,1304,628,1453,364,691,701,261,1086,1318,602
"NM_173192",148,69,359,53,31,38,60,13,27,78,40,82
"NM_173197",38,27,97,7,15,15,9,6,16,17,9,24
"NM_024541",979,822,1480,677,830,363,807,397,329,1138,812,713
"NM_001351192",953,646,1972,824,723,211,1117,453,486,1124,598,709
"NM_001351191",858,577,1843,758,638,188,971,429,457,1002,540,658
"NM_001351190",1016,714,2129,890,801,234,1239,490,534,1188,663,778
"NM_001351193",983,677,2018,863,755,214,1153,474,506,1173,613,726
"NR_037644",68,63,178,31,34,9,172,137,117,55,66,50
"NM_017649",381,278,908,211,192,105,321,136,185,297,178,250
"NM_001351181",789,583,1775,723,623,190,952,419,433,955,515,646
"NM_012229",962,729,2095,861,794,237,1170,483,505,1140,648,742
"NM_001351196",1032,787,2188,941,848,241,1268,534,565,1269,701,803
"NM_001351195",1000,754,2142,898,814,238,1231,513,544,1219,684,781
"NM_004210",1,9,3,5,2,3,11,14,5,30,17,27
"NM_001134373",954,711,2028,845,774,229,1156,477,496,1122,630,732
"NM_014976",2159,3002,2999,1799,3174,866,1862,1564,703,2557,3046,1474
"NM_001351180",937,691,2002,821,748,214,1167,474,489,1120,601,738
"NM_001351183",879,650,1904,784,704,208,1088,437,459,1060,566,693
"NM_001351174",936,628,1931,807,711,210,1094,447,468,1095,581,698
"NM_020682",56,44,146,21,12,6,175,144,116,38,37,37
"NM_001351175",1003,757,2147,886,852,246,1248,514,525,1181,702,774
"NM_001351179",1084,768,2247,925,851,241,1311,536,572,1278,717,817
"NM_001351178",1016,789,2211,923,849,243,1239,517,547,1243,695,775
"NM_001351185",1022,765,2136,898,826,235,1247,521,534,1204,673,786
"NM_001351186",1073,814,2241,943,879,242,1322,557,567,1289,714,813
"NM_001351188",954,696,2054,829,757,217,1175,477,496,1148,615,744
"NM_001351189",1059,742,2178,908,831,238,1283,522,552,1228,686,806
"NM_001351197",984,756,2165,880,815,240,1202,496,525,1193,678,753
"NM_001351177",975,738,2097,862,794,231,1182,490,516,1174,660,743
"NM_001351176",892,655,1956,792,713,210,1094,440,466,1088,579,699
"NM_032727",16,11,32,0,4,3,18,23,8,16,15,21
"NM_001351182",1038,779,2195,900,842,238,1263,529,546,1239,696,788
"NM_001351184",1013,752,2126,883,822,235,1235,515,526,1187,665,777
"NM_199076",380,278,907,211,191,105,321,136,185,296,178,249
"NM_001351169",975,746,2131,871,839,243,1211,514,520,1172,696,752
"NM_001351170",984,744,2074,886,807,232,1193,496,517,1170,647,754
"NM_001351171",992,762,2141,902,827,240,1207,502,527,1188,665,764
"NM_001351172",1005,779,2177,912,872,246,1248,533,543,1222,713,774
"NM_001365079",800,433,1268,760,645,423,676,294,266,903,410,633
"NM_001351173",1030,733,2126,915,816,235,1241,503,543,1211,668,783
"NM_001351187",1091,845,2319,976,904,251,1354,569,585,1325,740,832
"NM_001351194",904,666,1949,820,724,215,1137,460,486,1105,590,731
"NM_001272013",201,235,365,112,287,64,153,168,71,236,192,171
"NM_025145",3,2,15,0,1,1,13,0,2,3,1,10
"NM_033397",202,226,372,116,271,64,151,165,68,240,191,174
"NM_000494",0,1,1,0,0,0,0,0,0,1,0,1
"NR_120625",0,0,0,0,0,0,0,0,0,0,0,0
"NR_134330",0,0,0,0,0,0,0,0,0,0,0,0
"NR_038943",1,1,0,3,3,0,1,0,0,2,2,0
"NM_130439",576,659,1606,521,349,147,533,405,272,858,470,605
"NM_001134363",45,37,43,85,88,31,42,8,22,49,37,29
"NM_014456",3736,2784,9016,5701,3872,1082,5221,1953,2111,5081,2891,3981
"NM_005962",535,552,1551,507,292,138,511,339,261,818,415,568
"NM_145341",3860,2856,9210,5891,3958,1103,5405,2004,2227,5243,2973,4097
"NM_001199492",3428,2498,8441,5233,3465,969,4857,1804,1928,4602,2622,3623
"NM_001008541",505,496,1499,497,265,132,501,311,252,769,360,546
"NM_001198529",22,5,52,16,6,3,19,5,7,25,0,12
"NM_001146283",23,5,54,16,6,3,19,5,8,25,0,14
"NR_028134",0,0,4,0,0,0,0,0,0,0,0,1
"NM_001365714",173,275,377,208,325,35,173,159,63,244,261,157
"NM_001365711",162,287,420,211,320,37,179,164,67,238,263,162
"NM_001318205",675,667,1064,592,834,176,681,406,180,746,673,466
"NM_001146274",26,5,52,17,6,3,23,5,7,28,0,12
"NM_001198526",26,5,52,16,6,3,19,5,7,26,0,12
"NM_001198530",15,5,50,13,6,1,18,5,5,23,0,11
"NM_001198531",22,5,52,17,6,3,23,5,7,27,0,12
"NM_001363501",21,5,52,16,6,3,22,5,6,27,0,12
"NM_001198527",22,5,55,17,6,3,19,5,6,23,0,12
"NM_145206",658,650,1033,573,808,176,660,394,174,722,653,459
"NM_001146286",22,5,52,16,6,3,19,5,7,25,0,12
"NM_001318203",660,652,1033,581,812,176,660,396,174,722,657,459
"NM_001367943",22,5,56,17,6,3,23,5,7,28,0,12
"NM_001198525",26,5,56,16,6,3,19,6,7,27,0,12
"NM_001365713",177,301,449,229,345,37,200,176,73,261,281,167
"NM_001365710",198,284,473,244,331,35,291,158,67,276,257,201
"NM_001365712",673,662,1055,589,835,176,678,404,180,736,672,457
"NM_001146284",22,5,51,16,6,3,19,5,6,22,0,12
"NM_001146285",21,5,56,15,6,3,18,5,6,26,0,12
"NM_030756",22,5,56,16,6,3,19,5,7,26,0,12
"NM_001198528",22,5,56,17,6,3,19,5,7,26,0,12
"NM_153249",63,71,360,90,83,20,71,56,52,90,73,103
"NM_182601",4,0,0,0,0,0,0,0,0,1,0,0
"NR_135815",386,200,1682,552,314,88,544,204,303,520,365,607
"NM_001193435",1,3,15,1,0,1,0,0,0,3,0,0
"NM_024889",2,2,15,1,0,1,0,0,0,3,0,1
"NM_001193434",2,3,15,1,0,1,0,0,0,3,0,0
"NM_006175",0,0,1,0,0,0,1,1,1,0,0,0
"NM_018017",374,194,1662,527,296,84,530,206,300,499,353,595
"NM_001321829",387,210,1695,557,319,90,534,212,309,522,369,622
"NM_001261463",0,0,1,0,0,0,1,1,1,0,0,0
"NM_198060",0,0,1,0,0,0,1,1,1,0,0,0
"NM_001322945",0,0,1,0,0,0,1,1,1,0,0,0
"NM_198514",1889,836,4964,2583,1327,316,2267,694,1236,2015,934,1934
"NM_001322887",1875,1350,4399,1347,1280,449,2628,1236,1237,978,604,1203
"NM_002313",1980,1415,4544,1412,1363,484,2751,1301,1282,1038,641,1277
"NM_001003407",1980,1415,4542,1412,1363,484,2751,1302,1282,1038,641,1277
"NM_001322883",1961,1410,4531,1410,1352,478,2748,1294,1277,1031,641,1270
"NM_001352442",1961,1410,4531,1410,1352,478,2748,1293,1277,1031,641,1270
"NM_001322884",1981,1426,4569,1427,1363,484,2770,1313,1294,1053,646,1302
"NM_001322885",1961,1410,4531,1410,1352,478,2748,1293,1277,1031,641,1270
"NM_001352441",1879,1353,4402,1350,1283,449,2632,1236,1238,978,604,1205
"NM_001322886",1886,1355,4410,1349,1282,454,2631,1237,1241,985,604,1210
"NM_001322882",2016,1436,4643,1449,1380,495,2780,1330,1312,1061,651,1327
"NM_139169",441,399,832,532,706,86,632,474,209,566,722,531
"NM_001352440",1890,1358,4413,1352,1285,454,2635,1238,1242,985,604,1212
"NM_001348099",2,2,1,1,0,1,0,0,1,0,0,0
"NM_001145453",1,2,2,0,0,0,0,1,0,0,0,0
"NM_001348098",1,2,2,0,0,0,1,1,0,0,0,0
"NM_005264",1,2,2,0,0,0,1,1,0,0,0,0
"NM_001348096",1,2,2,0,0,0,0,1,0,0,0,0
"NM_145793",1,2,2,0,0,0,0,1,0,0,0,0
"NM_001258298",1,0,1,1,3,1,1,0,0,3,4,2
"NM_001258299",0,0,1,1,1,1,1,0,1,3,5,3
"NM_018330",1,0,1,1,4,0,1,0,0,2,1,3
"NM_173791",829,654,2181,941,754,178,1011,421,464,1061,822,974
"NM_001330164",22,17,30,5,22,9,42,9,12,17,12,7
"NM_001258300",0,0,1,1,0,1,0,0,1,3,4,2
"NM_001127211",1,0,1,1,4,1,1,0,0,3,5,3
"NR_026941",9,7,11,2,0,1,8,4,2,9,7,8
"NR_108045",0,0,0,0,0,0,0,0,0,0,0,0
"NR_026940",6,1,2,0,1,0,2,3,2,1,7,2
"NR_026939",6,1,2,0,2,0,2,3,2,1,7,2
"NR_110305",395,364,683,234,376,104,335,266,130,394,342,314
"NM_005308",856,796,1664,641,757,353,672,360,258,955,654,574
"NM_213649",456,451,776,274,471,120,367,337,160,450,436,362
"NM_153810",1147,840,2265,1253,898,217,1338,584,701,1369,850,941
"NR_037771",1086,808,2070,969,773,293,1343,513,460,1316,748,887
"NM_004281",49,47,121,18,20,31,88,35,65,36,31,59
"NM_014937",450,238,1159,524,330,108,922,365,682,291,197,731
"NM_007190",1383,984,2442,1176,923,363,1602,616,577,1649,893,1070
"NM_000141",2,2,5,0,0,0,0,0,0,2,0,0
"NM_001144918",0,2,1,0,0,0,0,0,0,1,0,0
"NM_001144914",0,2,1,0,0,0,0,0,0,0,0,0
"NM_001144913",0,0,2,1,0,0,0,0,0,1,0,0
"NR_033850",33,16,29,27,22,6,37,11,5,21,5,13
"NM_001320654",0,2,0,0,0,0,0,0,0,0,0,0
"NM_023029",0,2,1,0,0,0,0,0,0,0,0,0
"NM_001144915",0,0,1,0,0,0,0,0,0,0,0,0
"NM_001144919",0,0,2,1,0,0,0,0,0,2,0,0
"NM_022970",2,2,5,0,0,0,0,0,0,2,0,0
"NM_001144916",0,2,1,0,0,0,0,0,0,0,0,0
"NM_001144917",0,2,1,0,0,0,0,0,0,1,0,0
"NM_001320658",0,2,1,0,0,0,0,0,0,1,0,0
"NR_073009",0,2,1,0,0,0,0,0,0,1,0,0
"NM_144587",8,2,13,1,5,2,0,0,0,1,3,8
"NM_001195608",120,84,242,32,20,2,89,55,59,105,55,97
"NM_206861",0,0,3,1,0,0,0,0,1,2,0,0
"NM_001291879",0,0,2,1,0,0,0,0,0,2,0,0
"NM_001291877",0,1,6,1,0,0,0,2,1,2,0,2
"NM_001288736",723,630,1594,663,648,92,673,422,302,791,647,769
"NM_001288735",664,555,1499,615,603,86,589,355,275,723,567,702
"NM_001291876",0,1,6,1,0,0,0,2,1,2,0,2
"NM_001288734",644,521,1434,575,535,83,598,340,280,680,519,674
"NM_021622",117,82,234,31,20,2,76,52,58,104,53,90
"NM_001318189",8,2,13,1,5,2,0,0,0,1,3,8
"NM_001001974",114,89,268,35,21,4,68,56,59,108,53,103
"NM_001330178",123,99,271,35,21,4,79,59,62,112,67,105
"NR_110006",518,442,1270,519,427,73,493,289,213,583,421,569
"NM_007041",739,640,1589,668,665,93,674,419,307,806,674,779
"NM_206862",0,1,7,1,0,0,0,2,1,2,0,2
"NM_001001976",718,603,1566,647,621,97,656,407,309,777,643,764
"NM_024942",266,188,548,297,223,57,222,126,107,347,221,244
"NM_001167880",25,56,85,20,36,10,45,32,16,37,54,36
"NM_014661",514,1183,1080,364,1043,195,366,572,195,632,1010,399
"NM_001318331",19,46,53,18,22,5,28,25,10,28,36,25
"NM_198148",9,5,14,0,0,2,7,2,1,2,8,8
"NM_022126",35,65,97,21,39,13,49,38,20,48,67,47
"NM_001321012",65,70,168,7,2,1,175,61,71,7,24,91
"NR_033848",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001083914",66,70,169,7,2,0,176,62,71,7,24,90
"NM_001321013",67,64,157,8,2,0,185,59,66,6,24,88
"NM_001321014",75,65,163,8,2,0,198,60,69,6,24,92
"NM_001290215",68,70,173,8,2,0,186,64,73,7,24,97
"NM_001329",66,75,167,7,2,0,175,61,73,7,24,91
"NM_001290214",73,67,157,7,2,0,187,57,69,6,24,87
"NM_145235",4,3,7,2,6,2,13,0,3,11,4,7
"NM_001350939",4,3,7,2,8,2,13,0,3,13,5,7
"NM_001363549",4,4,6,1,6,2,13,0,3,7,1,7
"NR_146939",0,3,0,0,0,0,0,0,0,0,0,0
"NM_021641",0,1,0,0,0,0,0,0,0,0,0,0
"NM_001288975",0,1,0,0,0,0,0,0,0,0,0,0
"NM_001288973",6,0,11,16,2,1,7,6,4,14,3,12
"NM_003474",6,0,11,16,2,1,7,6,4,14,3,12
"NM_001288974",0,1,0,0,0,0,0,0,0,0,0,0
"NM_001350923",0,3,0,0,0,0,0,0,0,0,0,0
"NM_001350921",0,3,0,0,0,0,0,0,0,0,0,0
"NM_001350922",0,3,0,0,0,0,0,0,0,0,0,0
"NM_001004298",0,3,0,0,0,0,0,0,0,0,0,0
"NM_001380",0,0,1,1,0,0,0,0,1,1,1,1
"NM_001290223",0,0,1,1,0,0,0,0,1,1,1,1
"NM_001039762",1,0,1,1,0,1,1,0,1,0,0,0
"NM_001323357",194,131,276,78,91,43,190,77,52,252,123,141
"NM_130435",221,158,300,83,104,48,202,82,59,283,149,167
"NM_001316677",164,111,218,52,68,36,119,58,43,193,97,115
"NM_001323354",217,148,291,78,96,44,196,75,57,270,141,164
"NM_001005463",1,1,1,0,0,3,0,0,2,2,1,0
"NM_002412",258,676,506,132,367,79,269,474,139,242,462,200
"NM_001199868",813,671,1553,702,847,281,708,496,297,1105,791,798
"NM_001321980",933,701,1749,796,909,301,851,521,343,1243,876,890
"NM_006541",916,700,1728,787,898,298,835,523,339,1232,874,880
"NM_174937",1,3,7,1,0,3,27,23,21,11,1,1
"NM_001318879",13,45,68,29,44,3,2,7,3,35,31,18
"NM_173575",16,50,73,29,52,4,7,8,4,36,39,21
"NM_001321042",197,260,482,112,205,45,115,118,85,137,142,146
"NM_001318878",24,98,114,36,78,11,20,27,12,50,61,24
"NM_001200049",46,22,26,22,26,1,29,3,3,22,9,1
"NR_158224",3,2,15,2,4,1,10,7,2,21,4,5
"NM_005539",273,458,601,143,349,57,178,242,105,195,256,189
"NR_046330",540,820,1020,594,956,306,535,517,261,735,860,582
"NM_001143763",0,0,0,0,0,0,0,0,0,0,0,1
"NM_001256618",563,846,999,624,983,310,530,544,258,742,919,597
"NM_001143764",0,0,0,0,0,0,0,0,0,0,0,0
"NM_130784",0,0,0,0,0,0,0,0,0,0,0,0
"NM_006659",618,986,1105,679,1170,340,611,639,286,849,1089,658
"NM_001256617",632,993,1132,686,1182,349,620,648,301,870,1104,665
"NR_149138",0,0,0,0,0,0,0,0,0,0,0,0
"NR_110795",0,0,0,0,0,0,0,0,0,0,0,0
"NR_149137",0,0,0,0,0,0,0,0,0,0,0,0
"NM_177987",5,3,12,1,12,3,10,5,4,2,4,3
"NM_212479",151,133,387,162,167,39,254,103,126,190,184,209
"NM_001202468",166,142,393,188,194,42,259,128,144,201,208,223
"NM_001330057",300,235,756,344,320,87,484,220,243,370,341,405
"NM_001202466",254,201,698,289,253,75,449,168,193,320,262,354
"NM_001202465",246,198,659,276,256,73,424,174,197,313,265,338
"NM_001202467",135,116,346,154,153,33,230,100,112,163,156,186
"NM_001202464",264,216,709,309,287,78,454,192,212,336,286,366
"NM_006624",297,235,751,343,318,87,483,220,241,369,338,402
"NM_001370100",287,237,744,319,318,81,454,215,235,356,326,386
"NM_001370097",288,225,740,319,303,81,454,215,234,351,328,387
"NM_001370104",255,199,691,285,261,72,425,187,199,313,273,348
"NR_163254",259,210,714,287,259,76,438,185,205,328,292,358
"NM_001370105",257,199,691,285,262,72,425,187,200,313,273,348
"NM_001370118",267,204,705,298,288,73,429,194,218,328,298,364
"NM_001370119",251,173,671,283,235,71,389,172,195,305,245,314
"NM_001370124",238,175,644,259,250,68,392,173,191,286,261,331
"NM_001370098",291,235,742,320,307,81,457,225,232,354,328,388
"NM_001370106",255,199,691,285,261,72,425,187,199,313,273,348
"NM_001370107",260,208,695,286,266,72,428,196,200,316,276,351
"NM_001370113",268,211,689,285,274,76,423,202,210,324,287,352
"NM_001370115",269,216,730,293,274,78,449,190,210,340,298,369
"NM_001370116",265,204,705,298,288,73,429,194,218,328,298,364
"NM_001370120",241,181,659,273,254,68,403,175,194,296,260,334
"NM_001370122",216,180,633,246,215,66,393,152,161,276,230,290
"NM_001370099",286,230,747,319,302,81,454,217,231,351,342,387
"NM_001370108",255,204,700,285,261,72,425,189,199,313,288,350
"NM_001370110",235,193,653,252,240,67,395,171,185,295,264,321
"NM_001370111",243,196,692,265,237,69,420,165,181,302,261,337
"NM_001370114",263,206,694,284,269,76,420,194,209,321,301,351
"NM_001370112",290,238,747,320,320,81,455,215,235,357,326,387
"NM_001370117",268,204,699,293,288,73,417,196,214,327,276,345
"NM_001370121",241,183,659,273,254,68,403,175,195,296,261,335
"NM_001370123",219,192,641,247,229,66,394,152,165,282,231,292
"NM_001370101",286,226,739,319,302,81,455,216,231,351,328,385
"NM_001370102",303,240,764,330,325,84,460,231,236,358,343,395
"NM_001370109",272,214,717,296,283,75,431,203,204,320,291,358
"NR_147612",0,0,0,0,0,0,0,0,0,0,0,0
"NR_049884",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001355389",2,0,0,0,0,0,0,0,0,0,0,0
"NM_001355390",2,0,0,0,0,0,0,0,0,0,0,0
"NM_001355388",2,0,0,0,0,0,0,0,0,0,0,0
"NR_120629",4,0,5,1,1,0,1,0,6,4,0,0
"NR_024628",3,2,12,4,1,4,3,3,4,2,0,2
"NR_024629",3,2,11,4,1,3,3,3,3,2,0,1
"NR_027708",3,2,12,7,1,4,3,3,5,2,0,3
"NR_027709",4,2,12,7,1,4,3,3,5,2,0,5
"NM_012341",1353,1459,2505,1332,1576,426,1492,1041,548,1699,1594,1237
"NM_033261",1,0,0,0,0,2,0,0,0,0,0,1
"NR_015376",0,0,0,0,0,0,0,0,0,0,0,0
"NM_014023",621,441,904,393,447,184,575,269,252,572,463,469
"NR_033387",0,0,0,0,0,0,0,0,0,0,0,0
