"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Row.names.y","X","Chr","Start","End","Strand","Length","chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","len","tssstart","tssend","bodystart","bodyend","controlgenes","controlgenes18","controlgenes19","controlgenes20","controlgenes21","controlgenes21shuffle","V2"
"284","NM_000628",1535.03290441723,0.862698001306386,0.169659728544912,5.08487198880559,3.67874099178351e-07,1.78260371679441e-05,"NM_000628",68160,"chr21;chr21;chr21;chr21;chr21;chr21;chr21","33266367;33268394;33276596;33279752;33283094;33288104;33296184","33266514;33268517;33276753;33279918;33283241;33288261;33297221","+;+;+;+;+;+;+",1941,"chr21",33266366,33297221,"NM_000628",0,"+",33266465,33296357,0,7,"148,124,158,167,148,158,1038,","0,2027,10229,13385,16727,21737,29817,",30855,33265866,33266866,33267366,33296721,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"IL10RB"
"285","NM_000629",1582.0627369441,0.530128982467544,0.177491754115021,2.98678090771474,0.00281931691528056,0.0331304119459066,"NM_000629",68635,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","33324970;33335524;33340999;33343268;33343535;33345246;33349091;33349389;33352758;33353638;33355316","33325131;33335647;33341174;33343422;33343676;33345360;33349290;33349543;33352908;33353783;33359864","+;+;+;+;+;+;+;+;+;+;+",6075,"chr21",33324969,33359864,"NM_000629",0,"+",33325055,33355549,0,11,"162,124,176,155,142,115,200,155,151,146,4549,","0,10554,16029,18298,18565,20276,24121,24419,27788,28668,30346,",34895,33324469,33325469,33325969,33359364,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"IFNAR1"
"286","NM_000631",365.539717992309,-1.56204723894423,0.270854324839617,-5.76711204397117,8.06414427736897e-09,5.59611789914703e-07,"NM_000631",69966,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt","36861006;36864045;36864919;36867392;36870415;36871652;36872327;36875653;36876029;36877628;81800;87988;88862;91343;94366;95603;96278;99281;99657;101255","36861203;36864129;36865072;36867462;36870542;36871709;36872425;36875783;36876094;36878015;81997;88072;89015;91413;94493;95660;96376;99411;99722;101331","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",2445,"chr22",36861005,36878015,"NM_000631",0,"+",36861171,36877823,0,10,"198,85,154,71,128,58,99,131,66,388,","0,3039,3913,6386,9409,10646,11321,14647,15023,16622,",17010,36860505,36861505,36862005,36877515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"NCF4"
"287","NM_000631",365.539717992309,-1.56204723894423,0.270854324839617,-5.76711204397117,8.06414427736897e-09,5.59611789914703e-07,"NM_000631",69966,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt;chr22_KI270877v1_alt","36861006;36864045;36864919;36867392;36870415;36871652;36872327;36875653;36876029;36877628;81800;87988;88862;91343;94366;95603;96278;99281;99657;101255","36861203;36864129;36865072;36867462;36870542;36871709;36872425;36875783;36876094;36878015;81997;88072;89015;91413;94493;95660;96376;99411;99722;101331","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",2445,"chr22",36861005,36878015,"NM_000631",0,"+",36861171,36877823,0,10,"198,85,154,71,128,58,99,131,66,388,","0,3039,3913,6386,9409,10646,11321,14647,15023,16622,",17010,36860505,36861505,36862005,36877515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"NCF4"
"305","NM_000675",909.643778861088,0.647902439634902,0.218326668856421,2.96758267337915,0.00300151551329704,0.0349548039369669,"NM_000675",69645,"chr22;chr22;chr22","24427599;24433131;24440583","24427746;24433736;24442357","+;+;+",2529,"chr22",24427598,24442357,"NM_000675",0,"+",24433404,24441489,0,3,"148,606,1775,","0,5532,12984,",14759,24427098,24428098,24428598,24441857,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ADORA2A"
"329","NM_000714",276.798549274256,-0.698766925522484,0.239693826297529,-2.91524790736626,0.0035540610428633,0.0398750042353984,"NM_000714",70263,"chr22;chr22;chr22;chr22","43151559;43159210;43161052;43162803","43151604;43159420;43161190;43163242","+;+;+;+",836,"chr22",43151558,43163242,"NM_000714",0,"+",43159238,43162991,0,4,"46,211,139,440,","0,7651,9493,11244,",11684,43151058,43152058,43152558,43162742,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"TSPO"
"346","NM_000754",1195.52222551225,0.151292800556477,0.219899995728708,0.688007291928862,0.49144818942971,0.806313564735668,"NM_000754",69444,"chr22;chr22;chr22;chr22;chr22;chr22","19941740;19961199;19962527;19963566;19964168;19968536","19941897;19961289;19962815;19963759;19964299;19969975","+;+;+;+;+;+",2304,"chr22",19941739,19969975,"NM_000754",0,"+",19962526,19968736,0,6,"158,91,289,194,132,1440,","0,19459,20787,21826,22428,26796,",28236,19941239,19942239,19942739,19969475,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"COMT"
"399","NM_000854",1.80137220478885,0.659108913441789,1.87479495241332,0.351563200334711,0.725165867323474,NA,"NM_000854",69617,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt","23957414;23958285;23958551;23960294;23961020;23980028;23980948;23982628;23982873;23983397;193776;194647;194913;196656;197382;216394;217314;218994;219237;219763","23957932;23958458;23958701;23960381;23961301;23980309;23981035;23982780;23983044;23983915;194294;194820;195063;196743;197663;216675;217401;219144;219410;220281","-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+",4856,"chr22",23980027,23983915,"NM_000854",0,"+",23980197,23983606,0,5,"282,88,153,172,519,","0,920,2600,2845,3369,",3888,23979527,23980527,23981027,23983415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GSTT2"
"400","NM_000854",1.80137220478885,0.659108913441789,1.87479495241332,0.351563200334711,0.725165867323474,NA,"NM_000854",69617,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt","23957414;23958285;23958551;23960294;23961020;23980028;23980948;23982628;23982873;23983397;193776;194647;194913;196656;197382;216394;217314;218994;219237;219763","23957932;23958458;23958701;23960381;23961301;23980309;23981035;23982780;23983044;23983915;194294;194820;195063;196743;197663;216675;217401;219144;219410;220281","-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+",4856,"chr22",23980027,23983915,"NM_000854",0,"+",23980197,23983606,0,5,"282,88,153,172,519,","0,920,2600,2845,3369,",3888,23979527,23980527,23981027,23983415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GSTT2"
"401","NM_000854",1.80137220478885,0.659108913441789,1.87479495241332,0.351563200334711,0.725165867323474,NA,"NM_000854",69617,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt","23957414;23958285;23958551;23960294;23961020;23980028;23980948;23982628;23982873;23983397;193776;194647;194913;196656;197382;216394;217314;218994;219237;219763","23957932;23958458;23958701;23960381;23961301;23980309;23981035;23982780;23983044;23983915;194294;194820;195063;196743;197663;216675;217401;219144;219410;220281","-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+",4856,"chr22",23980027,23983915,"NM_000854",0,"+",23980197,23983606,0,5,"282,88,153,172,519,","0,920,2600,2845,3369,",3888,23979527,23980527,23981027,23983415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GSTT2"
"402","NM_000854",1.80137220478885,0.659108913441789,1.87479495241332,0.351563200334711,0.725165867323474,NA,"NM_000854",69617,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt;chr22_KI270879v1_alt","23957414;23958285;23958551;23960294;23961020;23980028;23980948;23982628;23982873;23983397;193776;194647;194913;196656;197382;216394;217314;218994;219237;219763","23957932;23958458;23958701;23960381;23961301;23980309;23981035;23982780;23983044;23983915;194294;194820;195063;196743;197663;216675;217401;219144;219410;220281","-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+",4856,"chr22",23980027,23983915,"NM_000854",0,"+",23980197,23983606,0,5,"282,88,153,172,519,","0,920,2600,2845,3369,",3888,23979527,23980527,23981027,23983415,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GSTT2"
"411","NM_000874",4223.06097523504,0.228714133807388,0.162368839821625,1.408608536334,0.158950953319245,0.497936081334279,"NM_000874",68633,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","33229938;33241840;33243673;33244951;33246718;33248709;33252662;33260597;33262561","33230216;33241977;33243714;33245074;33246890;33248854;33252830;33260727;33265663","+;+;+;+;+;+;+;+;+",4305,"chr21",33229937,33265663,"NM_000874",0,"+",33241922,33262716,0,9,"279,138,42,124,173,146,169,131,3103,","0,11902,13735,15013,16780,18771,22724,30659,32623,",35726,33229437,33230437,33230937,33265163,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"IFNAR2"
"450","NM_000967",30405.5599959486,0.157294449416374,0.217148737513603,0.724362716621921,0.468843082808818,0.791639221528497,"NM_000967",70096,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","39312882;39313191;39313634;39314107;39314686;39315369;39316706;39317461;39318400;39319595","39312984;39313310;39313729;39314208;39314846;39315555;39316841;39317629;39318592;39319623","-;-;-;-;-;-;-;-;-;-",1296,"chr22",39312881,39319623,"NM_000967",0,"-",39312939,39319597,0,10,"103,120,96,102,161,187,136,169,193,29,","0,309,752,1225,1804,2487,3824,4579,5518,6713,",6742,39319123,39320123,39313381,39318623,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"RPL3"
"477","NM_001001438",4783.90103718932,0.692230710789818,0.154391660868413,4.48360168480734,7.3393603924056e-06,0.000243150558540541,"NM_001001438",68903,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt","46188446;46191066;46191881;46194491;46195676;46196202;46205836;46206672;46207428;46208251;46209554;46210688;46213025;46213738;46215180;46215685;46216389;46219476;46221854;46222630;46227552;46228434;46228732;49816;52436;53251;55861;57046;57572;67206;68042;68798;69621;70924;72058;74395;75108;76550;77055;77759;80846","46188821;46191235;46191959;46194661;46195756;46196267;46205941;46206768;46207577;46208301;46209625;46210744;46213052;46213835;46215298;46215793;46216524;46219572;46221975;46222738;46227690;46228599;46228824;50191;52605;53329;56031;57126;57637;67311;68138;68947;69671;70995;72114;74422;75205;76668;77163;77894;80944","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",4757,"chr21",46188445,46228824,"NM_001001438",0,"-",46191103,46228745,0,23,"376,170,79,171,81,66,106,97,150,51,72,57,28,98,119,109,136,97,122,109,139,166,93,","0,2620,3435,6045,7230,7756,17390,18226,18982,19805,21108,22242,24579,25292,26734,27239,27943,31030,33408,34184,39106,39988,40286,",40379,46228324,46229324,46188945,46227824,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LSS"
"478","NM_001001438",4783.90103718932,0.692230710789818,0.154391660868413,4.48360168480734,7.3393603924056e-06,0.000243150558540541,"NM_001001438",68903,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt;chr21_KI270872v1_alt","46188446;46191066;46191881;46194491;46195676;46196202;46205836;46206672;46207428;46208251;46209554;46210688;46213025;46213738;46215180;46215685;46216389;46219476;46221854;46222630;46227552;46228434;46228732;49816;52436;53251;55861;57046;57572;67206;68042;68798;69621;70924;72058;74395;75108;76550;77055;77759;80846","46188821;46191235;46191959;46194661;46195756;46196267;46205941;46206768;46207577;46208301;46209625;46210744;46213052;46213835;46215298;46215793;46216524;46219572;46221975;46222738;46227690;46228599;46228824;50191;52605;53329;56031;57126;57637;67311;68138;68947;69671;70995;72114;74422;75205;76668;77163;77894;80944","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",4757,"chr21",46188445,46228824,"NM_001001438",0,"-",46191103,46228745,0,23,"376,170,79,171,81,66,106,97,150,51,72,57,28,98,119,109,136,97,122,109,139,166,93,","0,2620,3435,6045,7230,7756,17390,18226,18982,19805,21108,22242,24579,25292,26734,27239,27943,31030,33408,34184,39106,39988,40286,",40379,46228324,46229324,46188945,46227824,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LSS"
"480","NM_001001503",927.045861621212,0.419141608976072,0.177429656102051,2.36229736439886,0.0181620674064375,0.132870690965187,"NM_001001503",68796,"chr21;chr21;chr21","42893309;42896927;42908864","42893381;42897047;42913299","+;+;+",4630,"chr21",42893308,42913299,"NM_001001503",0,"+",42893333,42909021,0,3,"73,121,4436,","0,3618,15555,",19991,42892808,42893808,42894308,42912799,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"NDUFV3"
"486","NM_001001560",1380.10065668595,-0.0500011505874562,0.176255597473954,-0.283685461931755,0.776651436916617,0.929435326146116,"NM_001001560",69234,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","37608474;37614190;37616922;37618448;37620238;37620813;37621616;37623327;37623552;37629462;37629998;37630903;37631996;37632405;37632601","37608903;37614274;37616997;37618546;37620361;37620913;37621696;37623467;37623633;37629526;37630170;37631099;37632165;37632515;37633564","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",2899,"chr22",37608473,37633564,"NM_001001560",0,"+",37608860,37632711,0,15,"430,85,76,99,124,101,81,141,82,65,173,197,170,111,964,","0,5716,8448,9974,11764,12339,13142,14853,15078,20988,21524,22429,23522,23931,24127,",25091,37607973,37608973,37609473,37633064,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GGA1"
"490","NM_001001663",1.62716963378462,-0.141513357140405,1.82028204623098,-0.0777425440378422,0.938032851246743,NA,"NM_001001663",69666,"chr22;chr22;chr22;chr22","24934954;24938149;24939335;24946572","24935595;24938287;24939451;24946695","-;-;-;-",1022,"chr22",24934953,24946695,"NM_001001663",0,"-",24935332,24938275,0,4,"642,139,117,124,","0,3195,4381,11618,",11742,24946195,24947195,24935453,24945695,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"TMEM211"
"498","NM_001001794",579.853061757683,0.118358193214408,0.213688963346206,0.553880702873041,0.579660492396607,0.850965776153917,"NM_001001794",70380,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","50309030;50312343;50312523;50312999;50313446;50313635;50313814;50314207;50314400;50314605;50314799;50315714;50316025;50316174;50316370;50317293;50317908;50318847;50318965;50326812","50312261;50312417;50312625;50313108;50313499;50313724;50313878;50314272;50314494;50314700;50314921;50315769;50316087;50316253;50316475;50317373;50318020;50318889;50319003;50327012","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",4891,"chr22",50309029,50327012,"NM_001001794",0,"-",50312138,50326988,0,20,"3232,75,103,110,54,90,65,66,95,96,123,56,63,80,106,81,113,43,39,201,","0,3313,3493,3969,4416,4605,4784,5177,5370,5575,5769,6684,6995,7144,7340,8263,8878,9817,9935,17782,",17983,50326512,50327512,50309529,50326012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"DENND6B"
"502","NM_001001852",1148.47511755158,0.163558284840218,0.197512628590211,0.828090264443599,0.407619382599427,0.750730193181973,"NM_001001852",70357,"chr22;chr22;chr22;chr22;chr22;chr22","49960772;49961125;49961318;49961442;49962689;49962940","49961032;49961234;49961368;49961811;49962865;49964072","+;+;+;+;+;+",2102,"chr22",49960771,49964072,"NM_001001852",0,"+",49960947,49963127,0,6,"261,110,51,370,177,1133,","0,353,546,670,1917,2168,",3301,49960271,49961271,49961771,49963572,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"PIM3"
"505","NM_001001895",355.832520883034,0.348673438801285,0.205357796307265,1.69788264712183,0.0895299130355565,0.366178342650145,"NM_001001895",68780,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","42403902;42406308;42409422;42413024;42416442;42418401;42426697;42432103;42434832;42437488;42442452;42443312;42444534;42447057","42404058;42406361;42409608;42413222;42416611;42418609;42426820;42432202;42434954;42437580;42442596;42443418;42444643;42447682","+;+;+;+;+;+;+;+;+;+;+;+;+;+",2404,"chr21",42403901,42447682,"NM_001001895",0,"+",42403945,42447194,0,14,"157,54,187,199,170,209,124,100,123,93,145,107,110,626,","0,2406,5520,9122,12540,14499,22795,28201,30930,33586,38550,39410,40632,43155,",43781,42403401,42404401,42404901,42447182,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"UBASH3A"
"506","NM_001001928",1226.38306162197,-0.338870292925977,0.177583948322789,-1.90822591865128,0.0563620230682026,0.27904662213714,"NM_001001928",70325,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","46150534;46151888;46198342;46215173;46218263;46219812;46231792;46235133","46150652;46151970;46198591;46215333;46218401;46220014;46232239;46243756","+;+;+;+;+;+;+;+",10027,"chr22",46150533,46243756,"NM_001001928",0,"+",46198383,46235380,0,8,"119,83,250,161,139,203,448,8624,","0,1354,47808,64639,67729,69278,81258,84599,",93223,46150033,46151033,46151533,46243256,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"PPARA"
